ampur,specialpp_code,specialpp_label,icd_code,icd_category,patient_count
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F29,โรคจิตอื่นๆ (F21-F29),12
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F31,โรคอารมณ์สองขั้ว (F31),2
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",3
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F41,โรควิตกกังวล (F40-F48),1
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F51,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",2
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F54,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F55,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F62,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนกาหลง,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F20,โรคจิตเภท (F20),2
ควนกาหลง,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F21,โรคจิตอื่นๆ (F21-F29),1
ควนกาหลง,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F29,โรคจิตอื่นๆ (F21-F29),1
ควนกาหลง,1B032,หลงผิด มุ่งร้ายเฉพาะเจาะจง (1B032),F51,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",1
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F09,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F10,ติดแอลกอฮอล์ (F10),1
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",2
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F15,ติดยาบ้า Amphetamine (F15),7
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",5
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F20,โรคจิตเภท (F20),11
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F21,โรคจิตอื่นๆ (F21-F29),1
ควนกาหลง,1B037,ก่อเหตุรุนแรงแล้ว ได้รับการติดตาม (1B037),F23,โรคจิตอื่นๆ (F21-F29),2
